_id,c
AF,5.170000076
AO,5.414000034
BA,3.657000065
BD,4.949235285
BW,6.048999786
BY,2.960749984
CD,5.191285883
CM,5.514249981
CU,5.421000004
DJ,5.999500037
ET,5.833000017
GH,4.905750036
IN,5.351500035
IQ,5.144899988
IR,5.540210523
JO,5.909666697
KE,5.797000027
LR,4.922000051
MW,5.708000183
MZ,5.338999987
NA,6.465000153
NE,6.35950017
NG,5.048999786
NP,3.720999956
PK,5.217333158
SD,6.144615357
SI,3.513000011
SS,5.594999909
SY,5.275000095
TD,6.189173947
TG,5.423499823
TH,4.730999947
TZ,5.707000097
YE,5.926000118
ZM,5.852000078
ZW,5.741499901
default,5.324629755
